text,label
"The city council approved a new downtown transport plan after months of public hearings. Officials said the proposal will fund extra buses, safer crossings, and new cycle lanes beginning this summer. Local residents and business groups largely supported the measure during the final vote.",REAL
"Scientists from a public university published peer reviewed findings showing that a new water filtration method removed most common contaminants during controlled testing. The research team said additional field trials are planned before large scale rollout.",REAL
"The health department confirmed a seasonal flu rise and urged residents to follow official vaccination guidance. Hospitals reported manageable patient volumes while doctors encouraged basic hygiene and early treatment for high risk groups.",REAL
"A national technology company announced quarterly earnings that matched analyst expectations, citing steady cloud revenue and moderate hiring growth. Financial outlets reported the update after the firm released its official shareholder letter.",REAL
"Meteorologists warned that a strong storm system could bring heavy rain and localized flooding across coastal districts this weekend. Emergency services asked residents to monitor official forecasts and avoid flooded roads.",REAL
"The education ministry introduced a new scholarship program for low income students pursuing engineering and medical degrees. Application rules and deadlines were published on the government portal earlier this week.",REAL
"A regional hospital opened a new emergency wing on Friday, expanding bed capacity and trauma services after a year of construction. Administrators said the upgrade was funded through public grants and private donations.",REAL
"The central bank kept interest rates unchanged after its monthly policy meeting, pointing to stable inflation and moderate consumer spending. Economists said the decision was widely expected based on recent official data.",REAL
"A nonprofit environmental group completed a tree planting campaign across five neighborhoods, working with schools and local volunteers. Organizers reported that more than four thousand native saplings were added to community spaces.",REAL
"Police officials announced the recovery of several stolen vehicles during a weeklong investigation, according to a statement released on Tuesday. Authorities said multiple suspects were arrested and court proceedings are now underway.",REAL
"A major airline resumed direct flights between two capital cities after aviation regulators cleared the route for summer schedules. Passengers were advised to check revised departure times on the carrier's official website.",REAL
"Researchers testing a new vaccine candidate reported encouraging early safety data in a conference presentation and said broader trials would continue under regulatory supervision. Independent experts urged caution until full results are published.",REAL
"Foreign ministry officials said regional shipping routes would remain open under international maritime law after emergency talks with neighboring countries. Multiple news agencies reported the statement following the diplomatic meeting.",REAL
"Defense officials confirmed that air defense systems were placed on alert after overnight strikes near a border area, according to a government briefing carried by national broadcasters. Civil aviation advisories were updated soon after.",REAL
"A senior minister told parliament that fuel reserves were being monitored closely after tension in a strategic waterway raised concerns about supply disruption. The remarks were published in the official legislative record.",REAL
"International observers reported that ceasefire negotiations continued in the capital despite sporadic shelling in nearby districts. Aid agencies said humanitarian corridors remained under review pending security guarantees.",REAL
"The central government issued a travel advisory urging citizens in the conflict zone to follow embassy instructions and local security updates. The notice was posted on the foreign affairs portal and shared by major newspapers.",REAL
"State television and independent wire services carried comments from a military spokesperson who denied reports of a blockade and said commercial transit would be protected. Analysts said the statement aimed to calm markets.",REAL
"Customs authorities said inspections at the port were increased after intelligence inputs suggested possible smuggling attempts during the crisis. Officials told reporters that cargo movement was continuing under revised protocols.",REAL
"Election officials published constituency level turnout data after polling closed, and several broadcasters cited the same figures while projecting a delayed count. Party representatives said they would wait for certified results.",REAL
"The supreme court scheduled a hearing on the constitutional challenge next week, according to the public cause list uploaded on its website. Legal experts said the matter could have broad administrative implications.",REAL
"A viral article claims the moon will disappear for twenty four hours next month because of a secret global shadow experiment hidden from astronomers. The story offers no evidence, no scientific source, and invents quotes from unnamed researchers.",FAKE
"A website reported that drinking a homemade chemical mixture can instantly cure every known infection without any side effects. Medical experts were not cited and the article relied entirely on anonymous testimonials and fabricated hospital data.",FAKE
"An online post stated that a celebrity was elected president of three countries in the same day through a silent emergency vote. The report included manipulated images, no election records, and impossible constitutional claims.",FAKE
"A blog alleged that all smartphones will explode after receiving a routine software update created to control citizens minds. The article used sensational language, unsupported conspiracy claims, and no manufacturer statement.",FAKE
"A social media rumor said a hidden law now makes breathing taxes mandatory for every household beginning at midnight. No government notice exists and the story depends on invented legal sections and false screenshots.",FAKE
"A fabricated report claimed that scientists trained pigeons to control the stock market through invisible radio waves from city rooftops. The piece contained absurd assertions, no verifiable evidence, and no credible publication source.",FAKE
"A chain message insisted that a secret tunnel under the ocean was opened so politicians could import hurricanes on demand. The claim cited no engineers, no records, and used digitally altered construction photos as proof.",FAKE
"A clickbait site asserted that students no longer need exams because schools will award degrees based on zodiac signs and favorite colors. The article offered fake ministry logos and completely invented policy language.",FAKE
"An anonymous post claimed that hospitals were replacing doctors with mind reading robots that diagnose illness through facial aura scans. No health authority confirmed the story and the accompanying images were generated digitally.",FAKE
"A rumor website said a village cow had been appointed chief justice after signing legal documents with a hoof print. The report contained obvious satire presented as fact and referenced courts that do not exist.",FAKE
"A misleading article argued that sunlight can permanently charge mobile phones through window glass in thirty seconds because batteries absorb cosmic fire. The science described in the piece is fictional and unsupported.",FAKE
"A fabricated news clip claimed that the national weather agency can now schedule earthquakes to improve tourism during holiday weekends. The report lacked experts, evidence, and any authentic government communication.",FAKE
"A manipulated post claimed that a secret international order had already divided the ocean into private military zones controlled by invisible satellites. The article cited no treaty, no official map, and no credible authority.",FAKE
"A false report said a minister admitted that missiles can be guided using horoscope charts prepared by television astrologers. The story relied on anonymous screenshots and completely invented a cabinet briefing.",FAKE
"An online rumor claimed that all war footage on television was generated inside a single underground studio using actors and holograms. No evidence was presented and the clips were stitched together from unrelated videos.",FAKE
"A conspiracy article alleged that fuel prices rise automatically whenever a hidden algorithm detects public anger on social media. The piece included no documents, no regulator comment, and no verifiable source.",FAKE
"A fake bulletin claimed that the government secretly replaced border troops with robots that run on moonlight and cannot be photographed. The report included impossible technical claims and fabricated defense quotes.",FAKE
"A viral message said international shipping lanes had been closed by an underwater laser shield activated by ancient code words. The article contained sensational language, invented military sources, and no evidence.",FAKE
"A fabricated website reported that emergency sirens can read citizens thoughts and send the data to foreign powers during storms. The claim was unsupported and mixed pseudoscience with anonymous internet rumors.",FAKE
"A false news card claimed that judges now decide constitutional cases by spinning a digital wheel that changes outcome based on planetary alignment. The story was absurd and referenced no real court record.",FAKE
